#time,80x01-02_engine-rpm,80x03_coolant_temp,80x04_ambient_temp,80x05_intake_air_temp,80x06_fuel_temp,80x07_map_kpa,80x08_battery_voltage,80x09_throttle_pot,80x0A_idle_switch,80x0B_uk1,80x0C_park_neutral_switch,80x0D-0E_fault_codes,80x0F_idle_set_point,80x10_idle_hot,80x11_uk2,80x12_iac_position,80x13-14_idle_error,80x15_ignition_advance_offset,80x16_ignition_advance,80x17-18_coil_time,80x19_crankshaft_position_sensor,80x1A_uk4,80x1B_uk5,7dx01_ignition_switch,7dx02_throttle_angle,7dx03_uk6,7dx04_air_fuel_ratio,7dx05_dtc2,7dx06_lambda_voltage,7dx07_lambda_sensor_frequency,7dx08_lambda_sensor_dutycycle,7dx09_lambda_sensor_status,7dx0A_closed_loop,7dx0B_long_term_fuel_trim,7dx0C_short_term_fuel_trim,7dx0D_carbon_canister_dutycycle,7dx0E_dtc3,7dx0F_idle_base_pos,7dx10_uk7,7dx11_dtc4,7dx12_ignition_advance2,7dx13_idle_speed_offset,7dx14_idle_error2,7dx14-15_uk10,7dx16_dtc5,7dx17_uk11,7dx18_uk12,7dx19_uk13,7dx1A_uk14,7dx1B_uk15,7dx1C_uk16,7dx1D_uk17,7dx1E_uk18,7dx1F_uk19,0x7d_raw,0x80_raw
17:39:02.462,1140,42,200,23,200,37.000000,13.700000,0.720000,false,false,true,0,0,0,0,100,9,0,12.000000,3.400000,true,0,0,true,10,0,14.600000,0,179,255,255,0,false,0,100,0,255,85,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,1,7d201011ff920057ffff0000806400ff55ffff30808010ff1b0020802840368001,801c047461ff4eff2589240010010000002386640009004806a6100000
17:39:02.974,1110,42,200,23,200,38.000000,13.800000,0.720000,false,false,true,0,0,0,0,100,1,0,12.000000,3.340000,true,0,0,true,10,0,14.600000,0,179,255,255,0,false,0,100,0,255,85,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,1,7d201011ff920057ffff0000806400ff55ffff30807fefff1b0020802840368001,801c045661ff4eff268a24001001000000238664000100480688100000
17:39:03.503,1158,42,200,23,200,37.000000,13.800000,0.720000,false,false,true,0,0,0,0,100,32,0,12.000000,3.340000,true,0,0,true,10,0,14.600000,0,184,255,255,0,false,0,100,0,255,85,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,1,7d201011ff920058ffff0000806400ff55ffff30807ff6ff1b0020802840368001,801c048661ff4eff258a24001001000000238664002000480686100000
17:39:03.998,1102,42,200,23,200,38.000000,13.800000,0.720000,false,false,true,0,0,0,0,100,31,0,12.000000,3.300000,true,0,0,true,10,0,14.600000,0,179,255,255,0,false,0,100,0,255,85,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,1,7d201011ff920057ffff0000806400ff55ffff30807feeff1b0020802840368001,801c044e61ff4eff268a24001001000000238664001f00480670100000
17:39:04.413,1132,42,200,23,200,38.000000,13.800000,0.720000,false,false,true,0,0,0,0,100,5,0,12.000000,3.310000,true,0,0,true,10,0,14.600000,0,184,255,255,0,false,0,100,0,255,85,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,1,7d201011ff920058ffff0000806400ff55ffff30808015ff1b0020802840368001,801c046c61ff4eff268a24001001000000238664000500480676100000
17:39:04.830,1133,42,200,23,200,37.000000,13.800000,0.720000,false,false,true,0,0,0,0,100,3,0,12.000000,3.320000,true,0,0,true,10,0,14.600000,0,184,255,255,0,false,0,100,0,255,85,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,1,7d201011ff920058ffff0000806400ff55ffff3080800cff1b0020802840368001,801c046d61ff4eff258a2400100100000023866400030048067d100000
17:39:05.373,1132,42,200,23,200,36.000000,13.800000,0.720000,false,false,true,0,0,0,0,100,5,0,12.000000,3.360000,true,0,0,true,10,0,14.600000,0,179,255,255,0,false,0,100,0,255,85,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,1,7d201011ff920057ffff0000806400ff55ffff30807ffeff1b0020802840368001,801c046c61ff4eff248a2400100100000023866400050048068e100000
17:39:05.777,1111,42,200,23,200,37.000000,13.900000,0.720000,false,false,true,0,0,0,0,100,5,0,12.000000,3.370000,true,0,0,true,10,0,14.600000,0,179,255,255,0,false,0,100,0,255,85,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,1,7d201011ff920057ffff0000806400ff55ffff3080801bff1b0020802840368001,801c045761ff4eff258b24001001000000238664000500480694100000
17:39:06.253,1112,43,200,23,200,38.000000,13.900000,0.720000,false,false,true,0,0,0,0,100,15,0,12.000000,3.310000,true,0,0,true,10,0,14.600000,0,179,255,255,0,false,0,100,0,255,85,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,1,7d201011ff920057ffff0000806400ff55ffff30808002ff1b0020802840368001,801c045862ff4eff268b24001001000000238664000f00480675100000
17:39:06.749,1111,43,200,23,200,38.000000,13.900000,0.720000,false,false,true,0,0,0,0,100,14,0,12.000000,3.360000,true,0,0,true,10,0,14.600000,0,179,255,255,0,false,0,100,0,255,85,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,1,7d201011ff920057ffff0000806400ff55ffff30808010ff1b0020802840368001,801c045762ff4eff268b24001001000000238664000e00480692100000
17:39:07.245,1149,43,200,23,200,37.000000,13.800000,0.720000,false,false,true,0,0,0,0,100,2,0,12.000000,3.350000,true,0,0,true,10,0,14.600000,0,184,255,255,0,false,0,100,0,255,85,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,1,7d201011ff920058ffff0000806400ff55ffff3080800cff1b0020802840368001,801c047d62ff4eff258a2400100100000023866400020048068a100000
17:39:07.756,1144,43,200,23,200,37.000000,13.800000,0.720000,false,false,true,0,0,0,0,100,2,0,12.000000,3.420000,true,0,0,true,10,0,14.600000,0,179,255,255,0,false,0,100,0,255,85,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,1,7d201011ff920057ffff0000806400ff55ffff30807ff4ff1b0020802840368001,801c047862ff4eff258a240010010000002386640002004806ad100000
17:39:08.172,1097,43,200,23,200,37.000000,13.800000,0.720000,false,false,true,0,0,0,0,100,25,0,12.000000,3.370000,true,0,0,true,10,0,14.600000,0,184,255,255,0,false,0,100,0,255,85,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,1,7d201011ff920058ffff0000806400ff55ffff30807fe5ff1b0020802840368001,801c044962ff4eff258a24001001000000238664001900480694100000
17:39:08.748,1133,43,200,23,200,36.000000,13.800000,0.720000,false,false,true,0,0,0,0,100,20,0,12.000000,3.380000,true,0,0,true,10,0,14.600000,0,179,255,255,0,false,0,100,0,255,85,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,1,7d201011ff920057ffff0000806400ff55ffff30808023ff1b0020802840368001,801c046d62ff4eff248a24001001000000238664001400480698100000
17:39:09.111,1167,43,200,23,200,37.000000,13.800000,0.720000,false,false,true,0,0,0,0,100,28,0,12.000000,3.360000,true,0,0,true,10,0,14.600000,0,184,255,255,0,false,0,100,0,255,85,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,1,7d201011ff920058ffff0000806400ff55ffff30808011ff1b0020802840368001,801c048f62ff4eff258a24001001000000238664001c0048068e100000
17:39:09.836,1134,43,200,23,200,37.000000,13.800000,0.720000,false,false,true,0,0,0,0,100,15,0,12.000000,3.360000,true,0,0,true,10,0,14.600000,0,184,255,255,0,false,0,100,0,255,85,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,1,7d201011ff920058ffff0000806400ff55ffff30808015ff1b0020802840368001,801c046e62ff4eff258a24001001000000238664000f0048068e100000
17:39:10.172,1150,43,200,23,200,37.000000,13.800000,0.720000,false,false,true,0,0,0,0,100,26,0,12.000000,3.360000,true,0,0,true,10,0,14.600000,0,184,255,255,0,false,0,100,0,255,85,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,1,7d201011ff920058ffff0000806400ff55ffff30807ff5ff1b0020802840368001,801c047e62ff4eff258a24001001000000238664001a0048068f100000
17:39:10.641,1118,43,200,23,200,37.000000,13.800000,0.720000,false,false,true,0,0,0,0,100,2,0,12.000000,3.360000,true,0,0,true,10,0,14.600000,0,184,255,255,0,false,0,100,0,255,85,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,1,7d201011ff920058ffff0000806400ff55ffff30807ffdff1b0020802840368001,801c045e62ff4eff258a24001001000000238664000200480692100000
17:39:11.307,1112,43,200,23,200,37.000000,13.800000,0.720000,false,false,true,0,0,0,0,100,4,0,12.000000,3.370000,true,0,0,true,10,0,14.600000,0,184,255,255,0,false,0,100,0,255,85,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,1,7d201011ff920058ffff0000806400ff55ffff30808008ff1b0020802840368001,801c045862ff4eff258a24001001000000238664000400480694100000
17:39:11.643,1122,44,200,23,200,37.000000,13.800000,0.720000,false,false,true,0,0,0,0,100,22,0,12.000000,3.360000,true,0,0,true,10,0,14.600000,0,184,255,255,0,false,0,100,0,255,85,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,1,7d201011ff920058ffff0000806400ff55ffff30807ff1ff1b0020802840368001,801c046263ff4eff258a24001001000000238664001600480690100000
17:39:11.995,1111,44,200,23,200,37.000000,13.800000,0.720000,false,false,true,0,0,0,0,100,15,0,12.000000,3.380000,true,0,0,true,10,0,14.600000,0,184,255,255,0,false,0,100,0,255,85,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,1,7d201011ff920058ffff0000806400ff55ffff30807fffff1b0020802840368001,801c045763ff4eff258a24001001000000238664000f0048069c100000
17:39:12.541,1134,44,200,23,200,38.000000,13.800000,0.720000,false,false,true,0,0,0,0,100,22,0,12.000000,3.310000,true,0,0,true,10,0,14.600000,0,184,255,255,0,false,0,100,0,255,85,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,1,7d201011ff920058ffff0000806400ff55ffff30808012ff1b0020802840368001,801c046e63ff4eff268a24001001000000238664001600480675100000
17:39:12.891,1149,44,200,23,200,36.000000,13.800000,0.720000,false,false,true,0,0,0,0,100,24,0,12.000000,3.390000,true,0,0,true,10,0,14.600000,0,184,255,255,0,false,0,100,0,255,85,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,1,7d201011ff920058ffff0000806400ff55ffff3080802bff1b0020802840368001,801c047d63ff4eff248a2400100100000023866400180048069e100000
17:39:13.275,1142,44,200,23,200,36.000000,13.800000,0.720000,false,false,true,0,0,0,0,100,17,0,12.000000,3.320000,true,0,0,true,10,0,14.600000,0,184,255,255,0,false,0,100,0,255,85,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,1,7d201011ff920058ffff0000806400ff55ffff30808011ff1b0020802840368001,801c047663ff4eff248a2400100100000023866400110048067e100000
17:39:13.707,1133,44,200,23,200,37.000000,13.800000,0.720000,false,false,true,0,0,0,0,100,37,0,12.000000,3.400000,true,0,0,true,10,0,14.600000,0,184,255,255,0,false,0,100,0,255,85,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,1,7d201011ff920058ffff0000806400ff55ffff30808003ff1b0020802840368001,801c046d63ff4eff258a240010010000002386640025004806a6100000
17:39:14.186,1125,44,200,23,200,37.000000,13.800000,0.720000,false,false,true,0,0,0,0,100,3,0,12.000000,3.380000,true,0,0,true,10,0,14.600000,0,184,255,255,0,false,0,100,0,255,85,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,1,7d201011ff920058ffff0000806400ff55ffff30807ffbff1b0020802840368001,801c046563ff4eff258a24001001000000238664000300480698100000
