#time,80x01-02_engine-rpm,80x03_coolant_temp,80x04_ambient_temp,80x05_intake_air_temp,80x06_fuel_temp,80x07_map_kpa,80x08_battery_voltage,80x09_throttle_pot,80x0A_idle_switch,80x0B_uk1,80x0C_park_neutral_switch,80x0D-0E_fault_codes,80x0F_idle_set_point,80x10_idle_hot,80x11_uk2,80x12_iac_position,80x13-14_idle_error,80x15_ignition_advance_offset,80x16_ignition_advance,80x17-18_coil_time,80x19_crankshaft_position_sensor,80x1A_uk4,80x1B_uk5,7dx01_ignition_switch,7dx02_throttle_angle,7dx03_uk6,7dx04_air_fuel_ratio,7dx05_dtc2,7dx06_lambda_voltage,7dx07_lambda_sensor_frequency,7dx08_lambda_sensor_dutycycle,7dx09_lambda_sensor_status,7dx0A_closed_loop,7dx0B_long_term_fuel_trim,7dx0C_short_term_fuel_trim,7dx0D_carbon_canister_dutycycle,7dx0E_dtc3,7dx0F_idle_base_pos,7dx10_uk7,7dx11_dtc4,7dx12_ignition_advance2,7dx13_idle_speed_offset,7dx14_idle_error2,7dx14-15_uk10,7dx16_dtc5,7dx17_uk11,7dx18_uk12,7dx19_uk13,7dx1A_uk14,7dx1B_uk15,7dx1C_uk16,7dx1D_uk17,7dx1E_uk18,7dx1F_uk19,0x7d_raw,0x80_raw
11:05:03,2276,81,200,14,200,60,13.9,1.18,1,32,1,2,0,45,138,106,1482,0,26,4,16,0,0,16,45,255,146,0,218,255,255,1,1,132,96,48,255,55,255,255,48,128,134,34394,255,17,192,22,192,30,128,45,0,125,7D201046FFB4002BFFFF0101846030FF37FFFF600A865AFF11C016C01E802D007D,801C08E488FF45FF3C8B3B0120010200002D8ABF05CA004C07CF100000
11:05:04,2749,81,200,14,200,54,13.9,1.22,1,32,1,2,0,45,138,118,1956,0,31,4,16,0,0,16,47,255,146,0,65,255,255,1,1,132,99,56,255,55,255,255,48,128,135,34807,255,17,192,22,192,30,128,45,0,125,7D201046FFB4000DFFFF0101846338FF37FFFF600A87F7FF11C016C01E802D007D,801C0ABD88FF45FF368B3D0120010200002D8AD407A4005607CF100000
11:05:05,3193,81,200,14,200,57,13.9,1.32,1,32,1,2,0,45,138,130,2372,0,32,4,16,0,0,16,51,255,146,0,228,255,255,1,1,132,97,60,255,55,255,255,48,128,137,35268,255,17,192,22,192,30,128,45,0,125,7D201050FFB4002DFFFF010184613CFF37FFFF600A89C4FF11C016C01E802D007D,801C0C7988FF45FF398B420120010200002D8AEA0944005807CF100000
11:05:06,3260,81,200,14,200,19,13.9,0.6,0,32,1,2,0,45,138,113,2152,0,19,4,16,0,0,16,20,255,146,0,57,255,255,1,0,132,100,24,255,55,255,255,48,128,134,34495,255,17,192,22,192,30,128,45,0,125,7D20101EFFB4000BFFFF0100846418FF37FFFF600A86BFFF11C016C01E802D007D,801C0CBC88FF45FF138B1E0020010200002D8ACB0868003E07CF100000
11:05:07,1928,81,200,14,200,26,13.9,0.78,1,32,1,2,0,45,138,73,1122,0,26,4,16,0,0,16,31,255,146,0,20,255,255,1,1,132,104,16,255,55,255,255,48,128,132,33915,255,17,192,22,192,30,128,45,0,125,7D201032FFB40004FFFF0101846810FF37FFFF600A847BFF11C016C01E802D007D,801C078888FF45FF1A8B270120010200002D8A830462004C07CF100000
11:05:07,2028,81,200,14,200,59,13.9,1.14,1,32,1,2,0,45,138,84,1240,0,26,4,16,0,0,16,42,255,146,0,57,255,255,1,1,132,101,40,255,55,255,255,48,128,132,34025,255,17,192,22,192,30,128,45,0,125,7D201046FFB4000BFFFF0101846528FF37FFFF600A84E9FF11C016C01E802D007D,801C07EC88FF45FF3B8B390120010200002D8A9704D8004C07CF100000
11:05:08,2248,81,200,14,200,60,13.9,1.18,1,32,1,2,0,45,138,100,1395,0,26,4,16,0,0,16,45,255,146,0,27,255,255,1,1,132,100,48,255,55,255,255,48,128,133,34243,255,17,192,22,192,30,128,45,0,125,7D201046FFB40005FFFF0101846430FF37FFFF600A85C3FF11C016C01E802D007D,801C08C888FF45FF3C8B3B0120010200002D8AB40573004C07CF100000
11:05:09,2414,81,200,14,200,56,13.9,1.16,1,32,1,2,0,45,138,108,1580,0,29,4,16,0,0,16,44,255,146,0,163,255,255,1,1,132,100,44,255,55,255,255,48,128,134,34359,255,17,192,22,192,30,128,45,0,125,7D201046FFB40020FFFF010184642CFF37FFFF600A8637FF11C016C01E802D007D,801C096E88FF45FF388B3A0120010200002D8AC2062C005207CF100000
11:05:10,2517,81,200,14,200,49,13.9,1.1,1,32,1,2,0,45,138,111,1704,0,33,4,16,0,0,16,41,255,146,0,198,255,255,1,1,132,100,44,255,55,255,255,48,128,134,34493,255,17,192,22,192,30,128,45,0,125,7D20103CFFB40027FFFF010184642CFF37FFFF600A86BDFF11C016C01E802D007D,801C09D588FF45FF318B370120010200002D8AC806A8005A07CF100000
11:05:11,2618,81,200,14,200,45,13.9,1.08,1,32,1,2,0,45,138,114,1761,0,35,4,16,0,0,16,41,255,146,0,248,255,255,1,1,132,100,40,255,55,255,255,48,128,134,34551,255,17,192,22,192,30,128,45,0,125,7D20103CFFB40031FFFF0101846428FF37FFFF600A86F7FF11C016C01E802D007D,801C0A3A88FF45FF2D8B360120010200002D8ACD06E1005E07CF100000
