#time,80x01-02_engine-rpm,80x03_coolant_temp,80x04_ambient_temp,80x05_intake_air_temp,80x06_fuel_temp,80x07_map_kpa,80x08_battery_voltage,80x09_throttle_pot,80x0A_idle_switch,80x0B_uk1,80x0C_park_neutral_switch,80x0D-0E_fault_codes,80x0F_idle_set_point,80x10_idle_hot,80x11_uk2,80x12_iac_position,80x13-14_idle_error,80x15_ignition_advance_offset,80x16_ignition_advance,80x17-18_coil_time,80x19_crankshaft_position_sensor,80x1A_uk4,80x1B_uk5,7dx01_ignition_switch,7dx02_throttle_angle,7dx03_uk6,7dx04_air_fuel_ratio,7dx05_dtc2,7dx06_lambda_voltage,7dx07_lambda_sensor_frequency,7dx08_lambda_sensor_dutycycle,7dx09_lambda_sensor_status,7dx0A_closed_loop,7dx0B_long_term_fuel_trim,7dx0C_short_term_fuel_trim,7dx0D_carbon_canister_dutycycle,7dx0E_dtc3,7dx0F_idle_base_pos,7dx10_uk7,7dx11_dtc4,7dx12_ignition_advance2,7dx13_idle_speed_offset,7dx14_idle_error2,7dx14-15_uk10,7dx16_dtc5,7dx17_uk11,7dx18_uk12,7dx19_uk13,7dx1A_uk14,7dx1B_uk15,7dx1C_uk16,7dx1D_uk17,7dx1E_uk18,7dx1F_uk19,0x7d_raw,0x80_raw
11:22:46,3094,80,200,10,200,53,13.9,1.22,1,32,1,2,0,45,138,127,2235,0,34,4,16,0,0,16,48,255,146,0,195,255,255,1,1,132,107,60,255,45,255,255,48,128,136,35053,255,17,192,22,192,30,128,45,0,125,7D201050FFB400C3FFFF0101846B3CFF2DFFFF308088EDFF11C016C01E802D007D,801C0C1687FF41FF358B3D0120010200002D8A7F08BB005C07CF100000
11:22:47,3201,80,200,10,200,53,13.9,1.28,1,32,1,2,0,45,138,132,2407,0,32,4,16,0,0,16,50,255,146,0,180,255,255,1,1,132,104,60,255,45,255,255,48,128,137,35192,255,17,192,22,192,30,128,45,0,125,7D201050FFB400B4FFFF010184683CFF2DFFFF30808978FF11C016C01E802D007D,801C0C8187FF41FF358B400120010200002D8A840967005807CF100000
11:22:48,3409,79,200,10,200,62,13.9,1.42,1,32,1,2,0,45,138,135,2565,0,32,4,16,0,0,16,55,255,146,0,248,255,255,1,1,132,105,68,255,45,255,255,48,128,138,35396,255,17,192,22,192,30,128,45,0,125,7D20105AFFB400F8FFFF0101846944FF2DFFFF30808A44FF11C016C01E802D007D,801C0D5186FF41FF3E8B470120010200002D8A870A05005807CF100000
11:22:49,3083,79,200,10,200,17,13.9,0.6,0,32,1,2,0,45,138,115,2045,0,18,4,16,0,0,16,20,255,146,0,82,255,255,1,0,132,100,24,255,45,255,255,48,128,134,34450,255,17,192,22,192,30,128,45,0,125,7D20101EFFB40052FFFF0100846418FF2DFFFF30808692FF11C016C01E802D007D,801C0C0B86FF41FF118B1E0020010200002D8A7307FD003C07CF100000
11:22:50,2237,79,200,10,200,32,13.9,0.88,1,32,1,2,0,45,138,105,1406,0,34,4,16,0,0,16,34,255,146,0,30,255,255,1,1,132,104,32,255,45,255,255,48,128,133,34119,255,17,192,22,192,30,128,45,0,125,7D201032FFB4001EFFFF0101846820FF2DFFFF30808547FF11C016C01E802D007D,801C08BD86FF41FF208B2C0120010200002D8A69057E005C07CF100000
11:22:51,2301,79,200,10,200,82,13.9,1.56,1,32,1,2,0,45,138,105,1467,0,18,4,16,0,0,16,61,255,146,0,32,255,255,1,1,132,102,68,255,45,255,255,48,128,133,34267,255,17,192,22,192,30,128,45,0,125,7D201064FFB40020FFFF0101846644FF2DFFFF308085DBFF11C016C01E802D007D,801C08FD86FF41FF528B4E0120010200002D8A6905BB003C07CF100000
11:22:52,2467,79,200,10,200,83,13.9,1.64,1,32,1,2,0,45,138,111,1645,0,19,4,16,0,0,16,65,255,146,0,100,255,255,1,1,132,104,76,255,45,255,255,48,128,134,34446,255,17,192,22,192,30,128,45,0,125,7D201064FFB40064FFFF010184684CFF2DFFFF3080868EFF11C016C01E802D007D,801C09A386FF41FF538B520120010200002D8A6F066D003E07CF100000
11:22:52,2607,79,200,10,200,78,13.9,1.56,1,32,1,2,0,45,138,114,1778,0,21,4,16,0,0,16,61,255,146,0,205,255,255,1,1,132,106,76,255,45,255,255,48,128,135,34586,255,17,192,22,192,30,128,45,0,125,7D201064FFB400CDFFFF0101846A4CFF2DFFFF3080871AFF11C016C01E802D007D,801C0A2F86FF41FF4E8B4E0120010200002D8A7206F2004207CF100000
11:22:53,2740,79,200,10,200,74,13.9,1.5,1,32,1,2,0,45,138,118,1919,0,24,4,16,0,0,16,60,255,146,0,8,255,255,1,1,132,108,72,255,45,255,255,48,128,135,34696,255,17,192,22,192,30,128,45,0,125,7D201064FFB40008FFFF0101846C48FF2DFFFF30808788FF11C016C01E802D007D,801C0AB486FF41FF4A8B4B0120010200002D8A76077F004807CF100000
11:22:54,2878,79,200,10,200,76,13.9,1.58,1,32,1,2,0,45,138,121,2039,0,24,4,16,0,0,16,62,255,146,0,228,255,255,1,1,132,107,80,255,45,255,255,48,128,136,34829,255,17,192,22,192,30,128,45,0,125,7D201064FFB400E4FFFF0101846B50FF2DFFFF3080880DFF11C016C01E802D007D,801C0B3E86FF41FF4C8B4F0120010200002D8A7907F7004807CF100000
